市町村名,,総数,割合(%),順位
県計,,1800,880,60.6,
名古屋市,,499576,48.2,54
豊橋市,,89360,63.7,41
岡崎市,,94915,66.6,34
一宮市,,98382,69.7,28
瀬戸市,,37300,74.8,12
半田市,,30625,67.6,33
春日井市,,77207,63.1,44
豊川市,,46099,69.5,31
津島市,,17171,73.6,16
碧南市,,17009,68.1,32
刈谷市,,33218,57.1,49
豊田市,,100893,65.1,35
安城市,,43154,64.0,40
西尾市,,42157,75.6,10
蒲郡市,,20307,69.5,29
犬山市,,20807,75.5,11
常滑市,,15702,72.5,18
江南市,,26171,71.5,22
小牧市,,36167,62.5,45
稲沢市,,35500,72.4,19
新城市,,13302,82.9,8
東海市,,27045,63.5,42
大府市,,21631,64.5,37
知多市,,22560,70.0,26
知立市,,15130,53.5,52
尾張旭市,,23356,74.4,13
高浜市,,10219,59.8,46
岩倉市,,10110,50.5,53
豊明市,,17441,64.4,38
日進市,,23183,70.0,27
田原市,,14877,77.1,9
愛西市,,18233,87.4,4
清須市,,15575,58.6,48
北名古屋市,,19426,58.6,47
弥富市,,10882,70.0,25
みよし市,,14016,64.4,39
あま市,,23156,70.4,24
長久手市,,13448,54.2,51
東郷町,,11482,74.3,14
豊山町,,3359,55.5,50
大口町,,5437,69.5,30
扶桑町,,9173,73.6,17
大治町,,7509,63.4,43
蟹江町,,9575,64.9,36
飛島村,,1083,91.2,1
阿久比町,,8110,84.9,6
東浦町,,13430,74.3,15
南知多町,,5776,88.0,3
美浜町,,6484,71.9,21
武豊町,,11450,72.3,20
幸田町,,9423,71.2,23
設楽町,,1707,88.4,2
東栄町,,1173,86.7,5
豊根村,,399,84.0,7
