市町村名,,高齢夫婦世帯 (注1),,,「一人暮らし高齢者」(注2),,,65歳以上人口に占める,,,,,
,,（割合：65歳以上世帯員のいる世帯=100）,,,,,,「一人暮らし高齢者」の割合(%),,,,,
,,総数,割合(%),順位,総数,男,女,総数,順位,男,順位,女,順位
,,,,,,,,,,,,,
県計,,"588,692",51.5,－,"280,764","97,203","183,561",15.9,－,12.3,－,18.9,－
,,,,,,,,,,,,,
豊橋市,,"27,401",47.5,36,"12,493","4,346","8,147",13.9,21,10.9,19,16.4,24
岡崎市,,"28,497",54.1,19,"10,939","3,952","6,987",13.4,30,10.6,23,15.6,32
一宮市,,"29,586",47.2,38,"13,404","4,413","8,991",13.8,24,10.2,25,16.8,21
瀬戸市,,"11,395",49.5,32,"5,336","1,652","3,684",14.8,14,10.3,24,18.4,7
半田市,,"9,116",52.6,23,"4,091","1,380","2,711",15.3,10,11.6,12,18.2,11
豊川市,,"13,718",47.5,37,"5,967","2,033","3,934",13.2,32,10.1,27,15.7,31
,阿久比町,"2,220",50.4,29,759,263,496,10.7,49,8.2,47,12.8,46
,東浦町,"4,041",54.1,18,"1,515",492,"1,023",12.7,34,9.0,36,15.9,29
,南知多町,"1,471",35.8,52,872,268,604,13.5,27,9.6,34,16.6,22
,美浜町,"1,663",40.9,46,858,281,577,13.3,31,9.9,29,16.0,28
,武豊町,"3,436",53.1,22,"1,418",482,936,14.1,20,10.6,22,16.9,20
,幸田町,"2,559",51.6,25,630,238,392,7.8,53,6.4,53,9.0,53
,設楽町,602,41.3,45,367,119,248,15.3,11,11.3,13,18.4,9
,東栄町,412,40.0,47,311,83,228,18.5,3,11.8,10,23.3,3
,,,,,,,,,,,,,
"(注1)高齢夫婦世帯とは、夫65歳以上、妻60歳以上の夫婦のみの一般世帯（他の世帯員がいないもの）。
(注2)「一人暮らし高齢者」とは、65歳以上世帯員のみの一般世帯（他の世帯員がいないもの）。",,,,,,,,,,,,,
　　,　　,,,,,,,,,,,,
